N doc;LNeg;Material;TxtBreveMaterial;N NF;Ser;Dta.lncto;Nome 1;Valor liquido;Mont.desconto liq;Valor de Crédito;Montante basico;TaxaImp;Valor fiscal;CFOP;Rg;CNPJ;Ref.doc.origem;Dt.estorno;Cidade;CodigoPost;Rua;Zona;CPF;CNPJ Prestador de Servico;Razao Social;CCM;Numero do Processo Regime Especial;Codigo do Servico Prestado (Prefeitura);Numero de Contrato Cliente;Vencimento Fatura Cliente
TlA-1-00044075;9141;dominioregistronet;Domínio  Registro  (.net);;;27/05/2022;TESTE DOMINIOS REG 2;39,90;0,00;0,00;39,90;2,00;0,80;;;41014761000180;TlA-1-00044075;;São Paulo;17560246;rua almeida martins;;62699709972;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020011;27/05/2022
TlA-1-00043952;9141;dominioregistrocom;Domínio  Registro  (.com);;;27/05/2022;TESTES DOMINIOS REGISTROS;39,90;0,00;0,00;39,90;2,00;0,80;;;31968964000151;TlA-1-00043952;;São Paulo;17560246;Rua martins freitas;;08698115250;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020021;27/05/2022
TlA-1-00043952;9141;dominioregistrobiz;Dominio  Registro  (.biz);;;27/05/2022;TESTES DOMINIOS REGISTROS;39,90;0,00;0,00;39,90;2,00;0,80;;;31968964000151;TlA-1-00043952;;São Paulo;17560246;Rua martins freitas;;08698115250;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020021;27/05/2022
TlA-1-00043997;9141;dominioregistrobiz;Dominio  Registro  (.biz);;;27/05/2022;TESTE DOMINIO BIZ;39,90;0,00;0,00;39,90;2,00;0,80;;;08693804000125;TlA-1-00043997;;São Paulo;17560246;clareira amel;;87817912327;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020106;27/05/2022
TlA-1-00044033;9141;dominioregistroinfo;Domínio  Registro  (.info);;;27/05/2022;Cliente Edu Cloud;79,80;0,00;0,00;79,80;4,00;1,60;;;15029762000198;TlA-1-00044033;;São Paulo;17560246;Paulista;;37496748684;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020053;27/05/2022
TlA-1-00043994;9141;dominioregistroorg;Domínio  Registro  (.org);;;27/05/2022;TESTE DOM ORG;39,90;0,00;0,00;39,90;2,00;0,80;;;87671745000160;TlA-1-00043994;;São Paulo;17560246;rua almeida orvalho;;12087678103;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020076;27/05/2022
TlA-1-00043994;9141;dominioregistroinfo;Domínio  Registro  (.info);;;27/05/2022;TESTE DOM ORG;39,90;0,00;0,00;39,90;2,00;0,80;;;87671745000160;TlA-1-00043994;;São Paulo;17560246;rua almeida orvalho;;12087678103;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020076;27/05/2022
TlA-1-00044081;9141;dominioregistronet;Domínio  Registro  (.net);;;27/05/2022;TESTE DOM INFO;39,90;0,00;0,00;39,90;2,00;0,80;;;38034382000147;TlA-1-00044081;;São Paulo;17560246;mauricio meireles;;76294645689;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020065;27/05/2022
TlA-1-00044081;9141;dominioregistrobiz;Dominio  Registro  (.biz);;;27/05/2022;TESTE DOM INFO;39,90;0,00;0,00;39,90;2,00;0,80;;;38034382000147;TlA-1-00044081;;São Paulo;17560246;mauricio meireles;;76294645689;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020065;27/05/2022
TlA-1-00044081;9141;dominioregistrocombr;Domínio  Registro  (.com.br);;;27/05/2022;TESTE DOM INFO;39,90;0,00;0,00;39,90;2,00;0,80;;;38034382000147;TlA-1-00044081;;São Paulo;17560246;mauricio meireles;;76294645689;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020065;27/05/2022
TlA-1-00044081;9141;dominioregistroorg;Domínio  Registro  (.org);;;27/05/2022;TESTE DOM INFO;39,90;0,00;0,00;39,90;2,00;0,80;;;38034382000147;TlA-1-00044081;;São Paulo;17560246;mauricio meireles;;76294645689;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020065;27/05/2022
TlA-1-00044081;9141;dominioregistroinfo;Domínio  Registro  (.info);;;27/05/2022;TESTE DOM INFO;39,90;0,00;0,00;39,90;2,00;0,80;;;38034382000147;TlA-1-00044081;;São Paulo;17560246;mauricio meireles;;76294645689;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020065;27/05/2022
TlA-1-00043992;9141;dominioregistroorg;Domínio  Registro  (.org);;;27/05/2022;TESTE DOM BIZ;39,90;0,00;0,00;39,90;2,00;0,80;;;59532711000150;TlA-1-00043992;;São Paulo;17560246;rua almeida orvalho;;17195711714;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020071;27/05/2022
TlA-1-00043992;9141;dominioregistrocom;Domínio  Registro  (.com);;;27/05/2022;TESTE DOM BIZ;39,90;0,00;0,00;39,90;2,00;0,80;;;59532711000150;TlA-1-00043992;;São Paulo;17560246;rua almeida orvalho;;17195711714;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020071;27/05/2022
TlA-1-00043992;9141;dominioregistroinfo;Domínio  Registro  (.info);;;27/05/2022;TESTE DOM BIZ;39,90;0,00;0,00;39,90;2,00;0,80;;;59532711000150;TlA-1-00043992;;São Paulo;17560246;rua almeida orvalho;;17195711714;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020071;27/05/2022
TlA-1-00044079;9141;dominioregistrocom;Domínio  Registro  (.com);;;27/05/2022;TESTE DOM COM;39,90;0,00;0,00;39,90;2,00;0,80;;;78676544000165;TlA-1-00044079;;São Paulo;17560246;rua almeida martins;;45667315530;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020067;27/05/2022
TlA-1-00043940;9141;dominioregistrocombr;Domínio  Registro  (.com.br);;;27/05/2022;TESTE DOM BR;39,90;0,00;0,00;39,90;2,00;0,80;;;42374242000195;TlA-1-00043940;;São Paulo;17560246;Roberto almeida;;41062565681;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020069;27/05/2022
TlA-1-00044001;9141;dominioregistroinfo;Domínio  Registro  (.info);;;27/05/2022;Teste Dominio Info;39,90;0,00;0,00;39,90;2,00;0,80;;;53197882000193;TlA-1-00044001;;São Paulo;17560246;Rua Paulista;;16656551513;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020096;27/05/2022
TlA-1-00043960;9141;dominioregistroorg;Domínio  Registro  (.org);;;27/05/2022;Teste Dominio Org;39,90;0,00;0,00;39,90;2,00;0,80;;;34843346000173;TlA-1-00043960;;São Paulo;17560246;Rua Paulista;;32131447540;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020100;27/05/2022
TlA-1-00043998;9141;amazonsubscriptionservicesweden;Amazon Subscription Service;;;27/05/2022;TESTO DOM INFO;0,00;0,00;0,00;0,00;8,00;0,00;;;21478123000102;TlA-1-00043998;;São Paulo;17560246;Paulista;;38479426543;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020088;27/05/2022
TlA-1-00043998;9141;dominioregistronet;Domínio  Registro  (.net);;;27/05/2022;TESTO DOM INFO;39,90;0,00;0,00;39,90;2,00;0,80;;;21478123000102;TlA-1-00043998;;São Paulo;17560246;Paulista;;38479426543;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020088;27/05/2022
TlA-1-00043998;9141;dominioregistrobiz;Dominio  Registro  (.biz);;;27/05/2022;TESTO DOM INFO;39,90;0,00;0,00;39,90;2,00;0,80;;;21478123000102;TlA-1-00043998;;São Paulo;17560246;Paulista;;38479426543;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020088;27/05/2022
TlA-1-00044067;9141;dominioregistronet;Domínio  Registro  (.net);;;27/05/2022;TESTE DOM NET;39,90;0,00;0,00;39,90;2,00;0,80;;;00744460000124;TlA-1-00044067;;São Paulo;17560246;Rua martins freitas;;25318282490;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020073;27/05/2022
